Invoice ID,Invoice Status,Customer ID,Due Date,PurchaseOrder,SubTotal,Total,Balance,Adjustment,Expected Payment Date,Last Payment Date,Item Name,Item Desc,Quantity,Discount,Discount Amount,Item Total,Item Price,Product ID,SKU,Customer Name,Invoice Date,Invoice Number,Account,Account Code,Sales person,Item Type,Usage Unit
209792000800989733,Overdue,209792000341489221,2023-06-06,,1302.50,1302.50,1302.50,0.00,,,"Cauliflower (Medium, approx 300-500gm/pc)",,5,0.00,0.000,80.00,16.00,209792000054203595,FARMTHFINALCAT42,DELHI TO DAKSHIN ITPL,2023-06-06,INV-122275,Sales,,,goods,1 Pc
209792000800989733,Overdue,209792000341489221,2023-06-06,,1302.50,1302.50,1302.50,0.00,,,Beans White,,1,0.00,0.000,95.00,95.00,209792000054203766,FARMTHFINALCAT16,DELHI TO DAKSHIN ITPL,2023-06-06,INV-122275,Sales,,,goods,1 Kg
209792000800989733,Overdue,209792000341489221,2023-06-06,,1302.50,1302.50,1302.50,0.00,,,"Tomato Hybrid (Mix of medium, semi ripe 12-16 pcs/kg)",,1,0.00,0.000,26.00,26.00,209792000054203541,FARMTHFINALCAT107,DELHI TO DAKSHIN ITPL,2023-06-06,INV-122275,Sales,,,goods,1 Kg
209792000800989733,Overdue,209792000341489221,2023-06-06,,1302.50,1302.50,1302.50,0.00,,,Ginger (Small),,1,0.00,0.000,150.00,150.00,209792000054203865,FARMTHFINALCAT65,DELHI TO DAKSHIN ITPL,2023-06-06,INV-122275,Sales,,,goods,1 Kg
209792000800989733,Overdue,209792000341489221,2023-06-06,,1302.50,1302.50,1302.50,0.00,,,Chilli Small Spicy (Akash Chilli ),,0.5,0.00,0.000,40.00,80.00,209792000054203964,FARMTHFINALCAT46,DELHI TO DAKSHIN ITPL,2023-06-06,INV-122275,Sales,,,goods,1 Kg
209792000800989733,Overdue,209792000341489221,2023-06-06,,1302.50,1302.50,1302.50,0.00,,,Mint Leaves (Pudhina ),,0.5,0.00,0.000,19.50,39.00,209792000054204036,FARMTHFINALCAT78,DELHI TO DAKSHIN ITPL,2023-06-06,INV-122275,Sales,,,goods,1 Kg
209792000800989767,Overdue,209792000290572345,2023-06-06,,2318.75,2318.75,2318.75,0.00,,,Tomato Hybrid,,5,0.00,0.000,180.00,36.00,209792000054203559,FARMTHFINALCAT106,CHICKEN WILD WINGS PVT LTD ( AIRPORT),2023-06-06,INV-122276,Sales,,,goods,1 Kg
209792000800989767,Overdue,209792000290572345,2023-06-06,,2318.75,2318.75,2318.75,0.00,,,Cucumber Indian - Medium,,8,0.00,0.000,208.00,26.00,209792000054203748,FARMTHFINALCAT55,CHICKEN WILD WINGS PVT LTD ( AIRPORT),2023-06-06,INV-122276,Sales,,,goods,1 Kg
209792000800989767,Overdue,209792000290572345,2023-06-06,,2318.75,2318.75,2318.75,0.00,,,Onion,,10,0.00,0.000,260.00,26.00,209792000054203667,FARMTHFINALCAT81,CHICKEN WILD WINGS PVT LTD ( AIRPORT),2023-06-06,INV-122276,Sales,,,goods,1 Kg
209792000800989767,Overdue,209792000290572345,2023-06-06,,2318.75,2318.75,2318.75,0.00,,,Chilli Long Green,,0.5,0.00,0.000,32.50,65.00,209792000054203955,FARMTHFINALCAT45,CHICKEN WILD WINGS PVT LTD ( AIRPORT),2023-06-06,INV-122276,Sales,,,goods,1 Kg
